19/2/75, terça-feira, Carnaval
5/4/75, sexta-feira, Paixão de Cristo
21/4/75, domingo, Tiradentes
1/5/75, quarta-feira, Dia do Trabalho
6/6/75, quinta-feira, Corpus Christi
7/9/75, sábado, Independência do Brasil
12/10/75, sábado, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/75, sábado, Finados
15/11/75, sexta-feira, Proclamação da República
25/12/75, quarta-feira, Natal
1/1/76, quarta-feira, Confraternização Universal
2/3/76, segunda-feira, Carnaval
3/3/76, terça-feira, Carnaval
17/4/76, sexta-feira, Paixão de Cristo
21/4/76, terça-feira, Tiradentes
1/5/76, sexta-feira, Dia do Trabalho
18/6/76, quinta-feira, Corpus Christi
7/9/76, segunda-feira, Independência do Brasil
12/10/76, segunda-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/76, segunda-feira, Finados
15/11/76, domingo, Proclamação da República
25/12/76, sexta-feira, Natal
1/1/77, sexta-feira, Confraternização Universal
22/2/77, segunda-feira, Carnaval
23/2/77, terça-feira, Carnaval
9/4/77, sexta-feira, Paixão de Cristo
21/4/77, quarta-feira, Tiradentes
1/5/77, sábado, Dia do Trabalho
10/6/77, quinta-feira, Corpus Christi
7/9/77, terça-feira, Independência do Brasil
12/10/77, terça-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/77, terça-feira, Finados
15/11/77, segunda-feira, Proclamação da República
25/12/77, sábado, Natal
1/1/78, sábado, Confraternização Universal
